query,model,precision_at_10_aspect,category_diversity_at_10,cuisine_diversity_at_10,average_distance_km,coverage,explanation_coverage
quiet study cafe near UBC,hybrid,0.0,1,2,0.4773387064301219,10,0.0
quiet study cafe near UBC,distance,0.0,3,4,0.3020788388423158,10,0.0
quiet study cafe near UBC,rating_popularity,0.0,3,7,,10,0.0
cheap eats near Downtown,hybrid,0.0,2,8,0.2294321597339545,10,0.0
cheap eats near Downtown,distance,0.0,3,6,0.08989296845936916,10,0.0
cheap eats near Downtown,rating_popularity,0.0,3,7,,10,0.0
date night restaurant in Kitsilano,hybrid,0.0,1,6,0.34000046001985323,10,0.0
date night restaurant in Kitsilano,distance,0.0,2,6,0.12760797140404623,10,0.0
date night restaurant in Kitsilano,rating_popularity,0.0,3,7,,10,0.0
hidden gem ramen Vancouver,hybrid,0.0,1,3,0.39627584487050826,10,0.0
hidden gem ramen Vancouver,distance,0.0,3,6,0.08989296845936916,10,0.0
hidden gem ramen Vancouver,rating_popularity,0.0,3,7,,10,0.0
group dinner Mount Pleasant,hybrid,0.0,2,7,0.19669648979737955,10,0.0
group dinner Mount Pleasant,distance,0.0,3,8,0.13395989378792877,10,0.0
group dinner Mount Pleasant,rating_popularity,0.0,3,7,,10,0.0
dessert spot Vancouver,hybrid,0.0,1,4,0.5217317249485869,10,0.0
dessert spot Vancouver,distance,0.0,3,6,0.08989296845936916,10,0.0
dessert spot Vancouver,rating_popularity,0.0,3,7,,10,0.0
late night food Vancouver,hybrid,0.0,2,8,0.25521379448624076,10,0.0
late night food Vancouver,distance,0.0,3,6,0.08989296845936916,10,0.0
late night food Vancouver,rating_popularity,0.0,3,7,,10,0.0
